question,Expected Answer,"Real Answer with reranker , k=15 and top n=5",Time,methodology
1. How does Pro Rata Pricing work in Academies when a member joins after the month has started?,"Pro rata applies if the subscription date is past the plan’s proRataThresholdDay. The subscription starts immediately on the subscriptionRequestDate, and the price is reduced by proRataSessionAmount × number of missed sessions (sessions that have already started or passed). The deduction is a flat amount per session, floored at zero. Base price is plan.discountedPrice ?? plan.price.",,,
What is the main difference between Level-Up and Subscription Renewal in the Academies system?,Level-Up unlocks a higher-level program after passing an assessment (handled by academies-programs-level-ups and academies-program-unlocks). Subscription Renewal extends an existing active booking before or after expiry using the same plan (handled in create-academies-bookings.service.ts via renewBooking()).,,,
"If a member’s subscription expires on 10 July and the plan has renewBeforeExpiry = 3, when will they receive the renewal reminder?",The reminder will be sent at 13:00 local time on 8 July (expiry date minus (renewBeforeExpiry - 1)).,,,
"When bookedBy purchases a subscription for bookedFor (another family member), who receives the renewal and Level-Up notifications?",Both bookedFor and bookedBy (if different) receive the notifications. The bookedBy version includes the name of the bookedFor member.,,,
What are the key behavioral settings available in a Subscription Plan?,"proRataThresholdDay, proRataSessionAmount, renewBeforeExpiry, renewAfterExpiry, minFreezingDays, totalFreezingDays, allowEditRequestBeforeExpiry, allowCancelRequestBeforeExpiry, and month-based renewal settings (monthDay, monthDayThreshold).",,,
How is pricing calculated for Renewal compared to a new subscription?,"For renewals, the start date is set to expiryDate + 1 (instead of current date), and pro rata logic is still applied. The price uses the current plan price on the same subscriptionPlanId, with member discount reapplied.",,,
In which cases will no renewal reminder be sent even if the timing is correct?,"If the booking is cancelled, already renewed (hasActiveRenewal is true), or the expiry has passed the cut-off date.",,,
Explain the full Level-Up flow from assessment to booking a new program.,"After passing an assessment, a higher-level program is unlocked via academies-program-unlocks. The member can then book the unlocked program at a level-specific price through the subscription flow (SubscriptionPlansScreen, CheckoutScreen, etc.). Currently, the mobile flow uses dummy data.",,,
"Can a member renew their subscription after it has expired? If yes, for how long?","Yes. The renewal window is [expiryDate − (renewBeforeExpiry − 1), expiryDate + renewAfterExpiry].",,,
"What happens if a renewal attempt fails, and what notification does the member receive?",A renewal-failure push notification is sent prompting the member to retry within the renewal window. An in-app notification is also created.,,,
What conditions must subscription plans satisfy for a Multi-Program Subscription (MSP)?,"Selected plans must match on durationType, durationAmount, proRataThresholdDay, renewBeforeExpiry, and renewAfterExpiry.",,,
How does the system handle a member who has received a Level-Up but has not yet booked the new program?,"The program unlock record is created in academies-program-unlocks, making the higher-level program eligible for booking at the level-specific price. The member sees it in the Level-Up flow (currently prototyped with dummy data).",,,
"What were the biggest surprises in the 2018-19 UEFA Champions League, especially in the knockout stages?",Ajax eliminated Real Madrid in the Round of 16 and reached the semi-finals. Tottenham and Liverpool produced dramatic comebacks in the semi-finals (Tottenham vs Ajax and Liverpool vs Barcelona).,,,
How did Liverpool reach the final despite losing 3-0 to Barcelona in the first leg?,"Liverpool won the second leg 4-0 at Anfield, completing one of the greatest comebacks in Champions League history. They then beat Tottenham 2-0 in the final.",,,
"Who won the best player awards by position in the 2018-19 season, and who was the top scorer?",Goalkeeper: Alisson (Liverpool); Defender: Virgil van Dijk (Liverpool); Midfielder: Frenkie de Jong (Ajax); Forward: Lionel Messi (Barcelona). Top scorer: Lionel Messi with 12 goals.,,,
What were the major format changes introduced for the 2018-19 Champions League?,Europa League winners qualify directly for the group stage. Top four leagues get four automatic group stage spots. Introduction of a preliminary round. Only six teams qualify via qualifying rounds.,,,
What were Morocco’s major historical achievements in the 2022 FIFA World Cup?,First Arab and African team to reach the semi-finals. They finished fourth overall after losing to Croatia in the third-place match.,,,
Compare Argentina and France’s performance in the 2022 World Cup final.,"The match ended 3-3 after extra time. Argentina won 4-2 on penalties. Messi scored twice (23' pen, 108'), Di María once (36'). Mbappé scored a hat-trick (80' pen, 81', 118' pen).",,,
"If you were explaining the Academies subscription system to a new coach, how would you connect Subscription Plans, Pro Rata, Level-Ups, and Renewal Notifications in one coherent explanation?","Subscription Plans define pricing, duration, and behavioral rules (Pro Rata, renewal windows, freezing). Pro Rata gives fair pricing for mid-month joins. After passing assessments, Level-Ups unlock higher programs at specific prices. Renewal Notifications remind members before expiry and inform them of success/failure, helping retain members across the entire lifecycle.",,,
"Based on the 2018-19 Champions League and 2022 World Cup data, which player stood out in both tournaments and what were his key achievements?","Lionel Messi. In 2018-19 UCL: Top scorer with 12 goals and Forward of the Season. In 2022 World Cup: Golden Ball winner, 7 goals, led Argentina to victory.",,,
